participant,difficulty,left_pupil_position,right_pupil_position,left_eye_position,right_eye_position,left_eye_size_x,right_eye_size_x,left_eye_size_y,right_eye_size_y,time_stamp
participant_14,medium,"(142.78553594209006, 106.1925764556081)","(57.76796778813059, 110.11030297341586)","(123.29098778190018, 111.74814002992207)","(40.218450420205045, 115.57380508908682)",38.884374983674206,35.49032040649763,12.361294185873703,12.127363784406043,1630349510641
participant_14,medium,"(143.19625159806128, 106.13917866444626)","(58.48919758105194, 109.72331587098779)","(123.29098778190018, 112.68241271412262)","(40.218450420205045, 115.57380508908682)",38.884374983674206,37.34392016184938,14.375568214250961,13.625816873725853,1630349510706
participant_14,medium,"(138.4635076616505, 110.64794589170924)","(52.848542202650606, 114.74056276966166)","(118.85090879195286, 117.08131494979898)","(34.492046170694266, 121.13420893873081)",39.03190783413811,37.494978993612676,14.288150112461153,14.173146676414035,1630349510786
participant_14,medium,"(138.58626929889488, 109.90676299954839)","(53.76463675558125, 114.00227226843754)","(119.1633469320168, 117.08131494979898)","(35.3146778767059, 120.63831681139709)",38.6837725153091,37.8390939095334,15.47307699907833,14.695006535861467,1630349510850
participant_14,medium,"(143.9921011689612, 105.81613957755098)","(58.04483007927047, 110.16091205102657)","(124.55620687406918, 112.46469212954071)","(39.31639018455462, 116.83763715686837)",38.476242656601244,38.38823152274199,14.895426452003449,14.822338725985901,1630349510913
participant_14,medium,"(144.17655665149297, 104.00064251793536)","(57.844626946179005, 108.6396864393473)","(124.72490920198285, 110.77982262483691)","(38.98539909601641, 115.44453848033025)",38.384107209352806,38.652550345470445,15.278179104612718,15.161844268475761,1630349511009
participant_14,medium,"(144.38858015102684, 102.04790531122352)","(58.456022381632465, 107.13449076739288)","(125.02261331726729, 108.765305519757)","(39.54911457156231, 113.96079317839575)",38.22050812320231,38.78263842839078,15.13601642283902,15.173334317049012,1630349511074
participant_14,medium,"(140.7346279100113, 103.57833014825017)","(55.71828807350471, 108.158019093363)","(121.4454224797964, 110.32394058841417)","(36.805472292585364, 114.99122180267476)",38.14625871080352,38.76348321635305,15.101778683747398,15.158809170716268,1630349511121
participant_14,medium,"(145.82682499863677, 102.56638751528499)","(60.48898862147962, 106.50796514438116)","(126.55802459193546, 109.41015881038038)","(41.56746344697058, 113.46138982322736)",37.920528590577305,38.70506130135982,15.447562385052152,15.502353719628445,1630349511218
participant_14,medium,"(145.8630868916248, 102.2103452731892)","(60.682071768110745, 106.14554701091106)","(126.55802459193546, 108.36608093023642)","(41.56746344697058, 112.4147765333746)",37.920528590577305,38.70506130135982,14.403484504908192,14.455740429775688,1630349511281
participant_14,medium,"(153.955670438354, 110.03588587686318)","(69.42274156434723, 112.64981053064548)","(136.32757507597853, 113.359323686891)","(50.488489990195376, 116.09673478765762)",35.47071124220383,37.64413344245986,5.198996979219373,5.191932733752765,1630349511345
participant_14,medium,"(153.73046010173414, 107.95269033687782)","(68.60810447620372, 111.75051686041047)","(136.55229761414284, 110.66727282374268)","(48.81954214957932, 114.69181434080565)",34.48846111554121,39.19009456524873,2.506946116071049,2.621836105879993,1630349511414
participant_14,medium,"(163.05196755369752, 112.05971992598393)","(77.48628361781175, 116.48888000923489)","(146.21961832519992, 115.86408292702436)","(57.29635900245012, 120.2969247135934)",33.4511162807903,40.08550227621345,6.269568044783227,5.592623687509331,1630349511491
participant_14,medium,"(161.2675478814176, 107.1744405416789)","(77.79067820419596, 113.51946476269222)","(145.43318485528653, 111.01618983504886)","(57.426550131807744, 117.4613320561366)",31.540355074379477,40.5550493001756,6.424191317910299,5.91543925969745,1630349511554
participant_14,medium,"(161.9055716437115, 106.8950885520062)","(79.55327320327912, 114.2637739590564)","(146.582454188947, 110.75168089584078)","(59.210237374640215, 118.35045265501323)",30.391085740719006,40.48346655092428,7.07550195724798,6.592188354872633,1630349511618
participant_14,medium,"(163.2092006800026, 106.72042461046158)","(79.66185746864541, 114.28612970448012)","(147.97635235792404, 110.64961539559226)","(59.210237374640215, 118.35045265501323)",30.272544914887476,41.35214067385458,7.067860585009839,6.592188354872633,1630349511681
participant_14,medium,"(160.1040516373207, 105.05694136647344)","(78.11930379242949, 112.82595479025531)","(144.92814713054577, 109.21898275090007)","(57.903699423433864, 117.20950407669534)",30.060913432322195,40.244869988608116,7.601253998644097,7.405561409852453,1630349511746
participant_14,medium,"(160.53848875564654, 103.37050270305417)","(78.26863799514513, 110.82104592029646)","(145.29386550008167, 107.54965394421197)","(58.05694495552052, 115.19652090030104)",30.18865028140135,40.19589162207194,7.60343872404701,7.425776309297362,1630349511825
participant_14,medium,"(164.10349411315403, 104.1386916649535)","(79.6508460865516, 111.36171715819636)","(148.36556226581246, 108.2930829872057)","(58.97653501006333, 115.56465198306249)",31.21038812631923,41.185450579574535,7.1293301384394,6.538260176646872,1630349511922
participant_14,medium,"(163.66897187266886, 105.41059336858325)","(77.81923362005045, 112.06559962333813)","(147.75499241034595, 109.31667783145713)","(56.856519492184816, 116.02598920245327)",31.637933990423335,41.8040612934783,6.551024787549977,5.840396770090592,1630349511984
participant_14,medium,"(163.82178458459384, 108.26675704482477)","(77.16663636724115, 113.26153433154468)","(147.4420264302462, 112.1848325082974)","(56.419998325553024, 117.20983459585113)",32.52477746759541,41.25175939645851,6.64775757904863,5.979568040609593,1630349512050
participant_14,medium,"(158.7479910084312, 108.7294946349175)","(72.60216460396714, 112.42056083392845)","(141.90889998163584, 111.36049288030699)","(52.44016566083337, 114.9782610777329)",33.79260656394035,39.90807743841651,3.2354711822626996,2.303300825697079,1630349512130
participant_14,medium,"(163.71868246921076, 111.02585651216259)","(75.31173637090137, 113.87156006417058)","(146.27739866675074, 113.9575437416297)","(54.951655466107695, 116.78625234142055)",35.05405084270751,40.39470084673303,4.609641272967565,3.7384908030762745,1630349512162
participant_14,medium,"(158.05410835140015, 107.3568612597278)","(69.39097253073032, 108.556778219551)","(138.91293711575145, 113.6674115981441)","(49.62710999101819, 114.89147040273747)",37.787862670858885,39.89038386739594,14.146358727039114,13.841868642435657,1630349512258
participant_14,medium,"(155.86738628354715, 107.43430259149545)","(66.76357433584917, 109.33257541017792)","(136.23325403883246, 114.15167395334356)","(47.09105176571211, 116.0582878745372)",38.75442506973195,39.93020588316722,14.953223453594546,14.763505566650565,1630349512322
participant_14,medium,"(153.55200926483485, 108.67963078196408)","(65.43635543257005, 110.74249219156081)","(134.07413376007025, 115.4644529362995)","(45.984115281251434, 117.59183255881362)",38.593813871368184,39.57277305974276,14.960396661190316,14.933955899439752,1630349512386
participant_14,medium,"(152.10334402243643, 110.71088812849302)","(63.00280719536022, 113.11427898000147)","(132.43848567248642, 117.49650624519563)","(43.360850594697695, 120.00940116029233)",38.93433199173887,39.93236656258523,15.022383358576917,15.096671158273239,1630349512450
participant_14,medium,"(149.9911275370123, 110.26961685236711)","(60.769647536844786, 112.73833424143322)","(130.10589459246694, 117.2185961852374)","(41.02481315946352, 119.80817906515585)",39.344503672997234,40.239268097575405,15.415293562458828,15.536341253122373,1630349512534
participant_14,medium,"(150.10191460552278, 108.43163441191336)","(60.63290663771568, 111.201271615505)","(130.17862649254312, 115.41214387858417)","(40.80728007851576, 118.27590975250132)",39.37313609614648,40.39177080061563,15.50270599724172,15.565863407482539,1630349512627
participant_14,medium,"(150.87547704844837, 106.79045327596623)","(61.790012597813075, 109.71386227187895)","(131.0339607294609, 113.61626090108984)","(42.09283575138579, 116.6245896129949)",39.26826704484847,40.11149944999488,15.152890032633877,15.174403646044084,1630349512689
participant_14,medium,"(149.18053961865326, 105.88044912441546)","(60.89242017871288, 108.42303950456903)","(130.25756770395674, 111.58883223869452)","(41.54025550804363, 114.19996648995038)",37.86201160841301,38.887313831764914,12.399991192760353,12.34145405187519,1630349512755
