,participant,difficulty,left_pupil_movement_x,left_pupil_movement_y,right_pupil_movement_x,right_pupil_movement_y,average_pupil_movement_x,average_pupil_movement_y,average_pupil_movement_distance,movement_angle,strong_movement,direction_change,time_difference,time_stamp
0,participant_9,easy,0,0,0,0,0,0,0,0,False,False,0,1627462615059
1,participant_9,easy,0.0020366992180944486,-0.0020062759238068484,0.0006801619975693816,-8.966127460101367e-05,0.001358430607831915,-0.001047968599203931,0.0017156840913210205,37.648583545333,False,False,63,1627462615122
2,participant_9,easy,0.0007088616611557775,-0.0055871321653094335,0.0016915721323298304,-0.007703510907757257,0.001200216896742804,-0.006645321536533345,0.006752837842206847,79.76213144141423,False,False,65,1627462615187
3,participant_9,easy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,64,1627462615251
4,participant_9,easy,-0.007878049717794048,0.025611766920034074,-0.0065357454241718625,0.022247076922784357,-0.007206897570982956,0.023929421921409216,0.024991130548485795,253.2391131070029,True,True,64,1627462615315
5,participant_9,easy,-0.0007841844838773189,0.004079185073479798,-0.00048209836781112734,0.0015504440517467505,-0.0006331414258442231,0.0028148145626132742,0.00288514281917201,257.32333352852544,False,True,63,1627462615378
6,participant_9,easy,0.015932436944429973,-0.24658824295555376,0.008487728547952674,-0.2604139328960799,0.012210082746191325,-0.2535010879258168,0.25379497177887816,87.242434081671,True,False,66,1627462615444
7,participant_9,easy,-0.0025884155164263697,-0.05819229804447761,-0.0042202848853693286,-0.06278622059426976,-0.003404350200897849,-0.060489259319373684,0.06058498240733251,93.22122221301011,True,True,78,1627462615522
8,participant_9,easy,-0.010606324109358798,0.08835414946795471,0.0035793374585537507,0.13850971316965732,-0.003513493325402524,0.11343193131880602,0.11348633256063029,268.22586114852913,True,True,66,1627462615588
9,participant_9,easy,-0.0017786493228325784,0.12723747500578722,-0.008195099981304896,0.07759308584291365,-0.004986874652068737,0.10241528042435044,0.1025366206932615,267.21231663146875,True,True,85,1627462615673
10,participant_9,easy,-0.007186726610060594,-0.012563844006794748,0.0,0.0,-0.003593363305030297,-0.006281922003397374,0.007237043864638817,119.7702706332547,False,True,75,1627462615748
