,participant,difficulty,left_pupil_movement_x,left_pupil_movement_y,right_pupil_movement_x,right_pupil_movement_y,average_pupil_movement_x,average_pupil_movement_y,average_pupil_movement_distance,movement_angle,strong_movement,direction_change,time_difference,time_stamp
0,participant_7,hard,0,0,0,0,0,0,0,0,0,0,0,1627403347654
1,participant_7,hard,-0.003574158201954999,-0.00947571842053846,-0.003653399932140932,-0.043018736793264886,-0.0036137790670479654,-0.026247227606901673,0.02649483640624972,1.7076184172390874,1,0,50,1627403347704
2,participant_7,hard,0.0055240705773359575,-0.05710832215887693,2.939892250819651e-05,0.04214935609188759,0.002776734749922077,-0.007479483033494671,0.007978278155075784,1.2153201150948785,0,0,49,1627403347753
3,participant_7,hard,-0.004421554910434841,0.0559338828180966,-0.001803942254830817,-0.004116180860914453,-0.003112748582632829,0.025908850978591073,0.026095167421756896,1.6903655165589202,1,0,102,1627403347855
4,participant_7,hard,0.014126407733366776,-0.013319907213900556,0.01623867710447768,-0.012208744046104593,0.015182542418922227,-0.012764325630002574,0.019835261608839784,0.699084073991961,0,0,47,1627403347902
5,participant_7,hard,-0.003623149546967141,0.021126246682172084,0.0050853416668458894,0.013928436201245181,0.0007310960599393743,0.017527341441708633,0.017542582462770292,1.5291087439735005,0,0,51,1627403347953
6,participant_7,hard,0.0019000036059021708,0.013069026921470913,-0.005937725610211695,0.009831486557172066,-0.002018861002154762,0.011450256739321488,0.011626873145536528,1.7453183935783065,0,0,99,1627403348052
7,participant_7,hard,-0.0057136625457414585,0.006333815912285184,-0.010534982980544843,0.0062025995434601845,-0.008124322763143151,0.006268207727872684,0.010261337558013029,2.4844503537940206,0,0,98,1627403348150
8,participant_7,hard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1627403348150
9,participant_7,hard,0.006540031435583432,-0.00435645330463202,-0.000267226314279786,0.007831325527361903,0.003136402560651823,0.0017374361113649413,0.003585485359548724,0.5058771033782897,0,0,83,1627403348233
10,participant_7,hard,-0.0037507378356175175,0.005073153982879202,-0.013562744914100276,0.004242361528355366,-0.008656741374858896,0.004657757755617284,0.009830253228742728,2.6479705500646444,0,0,72,1627403348305
11,participant_7,hard,-0.01362787119834351,0.019911147955604863,-0.01662967395206411,0.016169224325110757,-0.01512877257520381,0.01804018614035781,0.023544172858926193,2.268643627493056,1,0,100,1627403348405
12,participant_7,hard,-0.00466169367091019,0.016034515914285407,0.006148373039757392,0.017954087941587517,0.0007433396844236011,0.01699430192793646,0.01701055119343003,1.5270836653259312,0,0,61,1627403348466
13,participant_7,hard,-0.003270670278171168,-0.0053558490665641945,-0.022090398751214622,-0.005247237838648089,-0.012680534514692894,-0.005301543452606142,0.013744173986027274,2.7455934756721643,0,0,71,1627403348537
14,participant_7,hard,0.004899536551802308,0.0017518390816306914,0.020945516472668187,0.0019868665600392987,0.012922526512235247,0.001869352820834995,0.013057035323081063,0.1436619012541788,0,0,68,1627403348605
15,participant_7,hard,-0.0020621863620403657,-0.032456771687671554,-0.0022888711839607395,-0.028127744668023223,-0.002175528773000553,-0.03029225817784739,0.030370278743460936,1.6424912120945474,1,0,51,1627403348656
16,participant_7,hard,-0.00031709150424753324,0.015432436905500104,-0.002063874336104763,0.007468434317513886,-0.0011904829201761483,0.011450435611506996,0.01151215554431483,1.6743924773288779,0,0,67,1627403348723
17,participant_7,hard,-0.007457497608331626,0.027945505167557626,-0.001851661269062491,0.03217168963398353,-0.0046545794386970585,0.030058597400770576,0.030416843811492886,1.7244263257441703,1,0,69,1627403348792
18,participant_7,hard,0.0,0.0,-0.00563548038517514,-0.01564244947546012,-0.00281774019258757,-0.00782122473773006,0.008313315595537323,1.916589501235828,0,0,113,1627403348905
19,participant_7,hard,0.0,0.0,0.002391829383830962,0.03009790545022618,0.001195914691915481,0.01504895272511309,0.015096396592333814,1.4914946819873227,0,0,60,1627403348965
20,participant_7,hard,0.006560369942757627,-0.04703511544590348,-0.002706761124553407,-0.061857851771861976,0.00192680440910211,-0.054446483608882726,0.054480566742676886,1.5354221295549686,1,0,60,1627403349025
21,participant_7,hard,-0.002467092620357893,0.030367346161637165,0.005920105069766978,0.023604661643549373,0.0017265062247045426,0.02698600390259327,0.027041176571568085,1.5069055642017481,1,0,57,1627403349082
22,participant_7,hard,-0.009609574529417455,0.03736301233386297,0.0,0.0,-0.004804787264708728,0.018681506166931486,0.019289495932351533,1.8225350705616585,0,0,97,1627403349179
23,participant_7,hard,0.0015536577010193619,-0.03920793284870025,-0.014211483947612683,-0.007126702176886705,-0.0063289131232966605,-0.023167317512793478,0.024016239132320948,1.8374723360102572,1,0,50,1627403349229
24,participant_7,hard,0.0,0.0,-0.0177401522655226,-0.0003406496880649116,-0.0088700761327613,-0.0001703248440324558,0.008871711286638917,3.1223928280378366,0,0,55,1627403349284
25,participant_7,hard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,101,1627403349385
26,participant_7,hard,0.0,0.0,0.01153316390410016,0.007720522638427092,0.00576658195205008,0.003860261319213546,0.006939386490340916,0.5899058603432079,0,0,50,1627403349435
27,participant_7,hard,-0.010259794479204535,0.021969368818642594,0.014456596967307228,0.03260028567727464,0.0020984012440513466,0.027284827247958617,0.02736539942577088,1.4940401615820684,1,0,103,1627403349538
28,participant_7,hard,0.022634899120421874,-0.06995523370404695,-0.0016436277564036502,-0.053075438685828764,0.010495635682009112,-0.06151533619493786,0.06240428635555169,1.4018053992200272,1,0,48,1627403349586
29,participant_7,hard,-0.0076802710580606585,0.013342030265622772,0.0,0.0,-0.0038401355290303293,0.006671015132811386,0.007697342644284426,2.09311509610583,0,0,48,1627403349634
30,participant_7,hard,-0.022838213877105825,-0.0059016396116569675,-0.009486709787391075,0.019921171942249172,-0.01616246183224845,0.007009766165296102,0.017617093806045817,2.732370621726393,0,0,103,1627403349737
31,participant_7,hard,0.006365646825427325,0.04031462825001111,0.008015115000869055,-0.016348525705666958,0.00719038091314819,0.011983051272172075,0.013974802162022565,1.0303430693666267,0,0,51,1627403349788
32,participant_7,hard,0.0035112675699835146,-0.006865391170410819,0.0,0.0,0.0017556337849917573,-0.0034326955852054097,0.0038555996897620473,1.098034974385644,0,0,62,1627403349850
