,participant,difficulty,left_pupil_movement_x,left_pupil_movement_y,right_pupil_movement_x,right_pupil_movement_y,average_pupil_movement_x,average_pupil_movement_y,average_pupil_movement_distance,movement_angle,strong_movement,direction_change,time_difference,time_stamp
0,participant_2,medium,0,0,0,0,0,0,0,0,0,0,0,1626358172442
1,participant_2,medium,0.0007510750225478522,-0.00098161126900103,-0.00865135152275587,-0.0011983818136523468,-0.003950138250104008,-0.0010899965413266885,0.004097765812615321,2.8723538262246944,0,0,68,1626358172510
2,participant_2,medium,-0.008952789866515232,0.012770953071524552,0.0063931672818279914,0.006155483591003692,-0.0012798112923436203,0.009463218331264123,0.009549367420367884,1.7052213373613332,0,0,61,1626358172571
3,participant_2,medium,0.0006826484529019219,0.0003115122930680984,0.0030653732250828015,0.0011651960544835564,0.0018740108389923617,0.0007383541737758274,0.002014220323249927,0.3753204698316152,0,0,79,1626358172650
4,participant_2,medium,0.005927940559517263,-0.009270894878602727,-0.004180217813538684,-0.006491382701425346,0.0008738613729892893,-0.007881138790014036,0.007929437705579547,1.4603673158545893,0,0,65,1626358172715
5,participant_2,medium,0.0,0.0,0.006285574501535031,0.0006726513798576316,0.0031427872507675154,0.0003363256899288158,0.0031607319837804867,0.10660936312630843,0,0,63,1626358172778
6,participant_2,medium,-0.0032913993224169295,0.006995917640004241,-0.0024087815652079243,0.002933380833255774,-0.002850090443812427,0.004964649236630008,0.005724574882092279,2.0919365958040146,0,0,65,1626358172843
7,participant_2,medium,0.01152548889688542,-0.016654296069323633,0.005321376616523357,-0.0002232448280110872,0.008423432756704388,-0.00843877044866736,0.01192338316469038,0.786307753179179,0,0,62,1626358172905
8,participant_2,medium,-0.0016603284352699546,0.014475098705936737,0.000580015008166202,0.0018269523104620128,-0.0005401567135518763,0.008151025508199374,0.008168903605167099,1.636968133837667,0,0,93,1626358172998
9,participant_2,medium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,53,1626358173051
10,participant_2,medium,0.0007951556355119242,-0.07444972917694884,0.017070886760304837,-0.03355120837068776,0.00893302119790838,-0.0540004687738183,0.05473435388779524,1.4068561146447869,1,0,58,1626358173109
11,participant_2,medium,0.01458004027284452,0.040350829784074414,-0.010087326943621836,0.017008942499988862,0.0022463566646113422,0.028679886142031638,0.028767724751612565,1.4926307505428764,1,0,100,1626358173209
12,participant_2,medium,-0.0057932505595783106,0.004163338683951877,-0.0023637502342322625,-0.004601557253769426,-0.004078500396905287,-0.0002191092849087744,0.004084381760596066,3.087921246699628,0,0,65,1626358173274
13,participant_2,medium,-0.000566493210645006,0.003915486646680158,-0.0005794943510325293,0.003783445041426911,-0.0005729937808387677,0.0038494658440535344,0.0038918773307254555,1.718561591492185,0,0,65,1626358173339
14,participant_2,medium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,64,1626358173403
15,participant_2,medium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,64,1626358173467
16,participant_2,medium,-0.0015442869793027753,0.014587710883608202,-0.005929257453424374,0.014763883831633868,-0.003736772216363575,0.014675797357621034,0.015144058065094154,1.820119800417877,0,0,79,1626358173546
17,participant_2,medium,-0.008802706907163864,0.013954816006681109,0.007795935338746393,0.009949414254246069,-0.0005033857842087351,0.011952115130463589,0.011962710952773209,1.6128883293047658,0,0,64,1626358173610
18,participant_2,medium,-0.0046059396553871906,0.00950022128892008,0.006637318029949479,0.005889859403290622,0.0010156891872811443,0.007695040346105351,0.007761782685269473,1.4395622367546865,0,0,64,1626358173674
19,participant_2,medium,0.0,0.0,-0.009469291937716187,-0.03683953228049735,-0.004734645968858094,-0.018419766140248674,0.019018534567938606,1.8223913094546864,0,0,97,1626358173771
20,participant_2,medium,-0.009828316455496016,0.0163814221499085,0.005705808921093176,0.050208585846754354,-0.00206125376720142,0.03329500399833143,0.03335874785332489,1.6326262162802627,1,0,63,1626358173834
21,participant_2,medium,0.0,0.0,0.013854752172138102,-0.017565367316138218,0.006927376086069051,-0.008782683658069109,0.011185887165332732,0.9029504728674973,0,0,65,1626358173899
22,participant_2,medium,0.015165483745024999,-0.031567652731914364,-0.0004670512003625399,-0.007027446168402935,0.007349216272331229,-0.01929754945015865,0.02064961003503012,1.2069183392816596,1,0,79,1626358173978
23,participant_2,medium,-0.006942118754381311,0.001873125289049977,-0.0081910895085256,-0.0014915308344799858,-0.007566604131453455,0.00019079722728499566,0.007569009292111362,3.116382294875292,0,0,64,1626358174042
24,participant_2,medium,0.0034461950815770637,-0.002562342842989544,0.0,0.0,0.0017230975407885318,-0.001281171421494772,0.0021471994193195984,0.6393462022365063,0,0,65,1626358174107
25,participant_2,medium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,64,1626358174171
26,participant_2,medium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,65,1626358174236
27,participant_2,medium,0.0011785689249362093,0.005045752540419791,-0.002707590745178682,0.001843820481459787,-0.0007645109101212363,0.003444786510939789,0.003528601853092401,1.7891893965205032,0,0,77,1626358174313
28,participant_2,medium,-0.007665246828418523,0.019001837360229736,0.0051968462874253125,0.03583955755862065,-0.0012342002704966051,0.027420697459425193,0.027448458963464983,1.6157757747335662,1,0,96,1626358174409
29,participant_2,medium,0.0013238473995197146,-0.0036175533061214072,-0.006821625853552087,-0.021312134698676283,-0.0027488892270161863,-0.012464844002398846,0.01276435380215325,1.787853422040597,0,0,32,1626358174441
30,participant_2,medium,-0.002595953035965117,0.012879558629856798,0.0006935247650301315,0.012665045531188539,-0.0009512141354674927,0.012772302080522668,0.012807673823440259,1.6451338523040768,0,0,97,1626358174538
31,participant_2,medium,0.022120408560115396,-0.005224816557207362,0.005248736726694109,-0.005435047738990864,0.013684572643404752,-0.005329932148099114,0.014685901577225763,0.371408755937194,0,0,64,1626358174602
32,participant_2,medium,-0.012026781282337373,0.00842592534102484,-0.004422873317936525,0.0029050051264674142,-0.008224827300136949,0.005665465233746126,0.009987255900990227,2.538406247172058,0,0,65,1626358174667
33,participant_2,medium,-0.007064136640860468,-0.00754209829090567,0.001640986417450863,3.9480660650241535e-06,-0.0027115751117048024,-0.003769075112420323,0.004643120372064801,2.19444203057977,0,0,63,1626358174730
34,participant_2,medium,-0.002174615564647762,0.0018170403097034643,-0.0027115740531455774,-0.0001549338903769694,-0.00244309480889667,0.0008310532096632475,0.002580573905655376,2.813707035401377,0,0,64,1626358174794
35,participant_2,medium,0.017667341592312383,0.018208108995150026,0.0015093481701499653,0.0023748756197675314,0.009588344881231173,0.010291492307458778,0.014065957894004775,0.8207533033990503,0,0,79,1626358174873
36,participant_2,medium,0.0,0.0,0.015424418948808374,0.008510552813526688,0.007712209474404187,0.004255276406763344,0.008808266133300382,0.5041922322858515,0,0,66,1626358174939
37,participant_2,medium,-0.007592722348511776,-0.062499818129175794,-0.008476901995562284,-0.04666201686981766,-0.00803481217203703,-0.05458091749949673,0.05516914682797608,1.7169557561042617,1,0,91,1626358175030
38,participant_2,medium,-0.0036789132406388155,0.008410787402307085,-0.0034426533637292906,4.256742750349513e-05,-0.003560783302184053,0.00422667741490529,0.0055266608087328134,2.2708934813657837,0,0,70,1626358175100
39,participant_2,medium,-0.005595316079951935,0.023370649068991584,-0.0008496948184389417,0.023454993666290672,-0.0032225054491954383,0.023412821367641126,0.023633551272780974,1.707575409916443,1,0,61,1626358175161
