,participant,difficulty,left_pupil_movement_x,left_pupil_movement_y,right_pupil_movement_x,right_pupil_movement_y,average_pupil_movement_x,average_pupil_movement_y,average_pupil_movement_distance,movement_angle,strong_movement,direction_change,time_difference,time_stamp
0,participant_3,medium,0,0,0,0,0,0,0,0,0,0,0,1626427787640
1,participant_3,medium,-0.00023741110252076676,0.0008250761246463655,-0.0015874919122897207,0.0038858978594125226,-0.0009124515074052437,0.0023554869920294442,0.0025260417104604627,1.9403699861508026,0,0,59,1626427787699
2,participant_3,medium,-0.0006662552946390497,0.04237070110239908,0.0,0.0,-0.00033312764731952487,0.02118535055119954,0.021187969511178253,1.5865194650289216,1,0,60,1626427787759
3,participant_3,medium,8.153633955244564e-05,-0.0455115570754099,-0.00028168567066161267,0.0037709735909032607,-0.00010007466555458352,-0.02087029174225332,0.020870531673760805,1.575591367506508,1,0,82,1626427787841
4,participant_3,medium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,83,1626427787924
5,participant_3,medium,-0.0008469426948068301,-0.02181798775463036,-0.010407031854775557,-0.020847123278846334,-0.005626987274791193,-0.021332555516738346,0.022062205480535838,1.8286967601791617,1,0,73,1626427787997
6,participant_3,medium,-0.004380496997386938,0.03153185391230775,0.0034569895573221382,0.028605341434905528,-0.0004617537200323999,0.030068597673606638,0.030072142965794545,1.5861517960490166,1,0,47,1626427788044
7,participant_3,medium,-0.000527321926797058,0.0024620229846075157,-0.021675820647143233,-0.020802107597463478,-0.011101571286970145,-0.009170042306427982,0.014399116672260107,2.4511901510452563,0,0,86,1626427788130
8,participant_3,medium,0.0,0.0,0.017677673092913716,0.029781266146772713,0.008838836546456858,0.014890633073386356,0.017316350216521063,1.0351080779948136,0,0,48,1626427788178
9,participant_3,medium,-0.0004629187897247657,0.0013761926479016768,-0.017357356497744485,0.0006224537536861296,-0.008910137643734625,0.000999323200793903,0.008966002436422923,3.0299036482820556,0,0,79,1626427788257
10,participant_3,medium,0.003453255129263163,-0.004053509065761827,-0.0019199337295112764,-0.0022393829354468583,0.0007666606998759432,-0.0031464460006043428,0.0032385013607305053,1.3317942659078073,0,0,68,1626427788325
11,participant_3,medium,-0.0008397206510010323,-0.04568309434574409,0.0015888861391811638,-0.018817050533862067,0.00037458274409006575,-0.032250072439803074,0.032252247744997804,1.5591819063450099,1,0,69,1626427788394
12,participant_3,medium,0.00352902280861036,0.03676274946503998,-0.005283504759802119,0.013862472986690305,-0.0008772409755958797,0.025312611225865145,0.025327807619315548,1.6054387433725401,1,0,69,1626427788463
13,participant_3,medium,-0.0076712102159308265,-0.0037370122180467647,-0.0037778169989979124,0.0021034242029044337,-0.005724513607464369,-0.0008167940075711655,0.005782491547148935,2.999865709731615,0,0,76,1626427788539
14,participant_3,medium,-0.001000610654138097,0.012322200474816868,0.0032159095343615223,0.0005891622923340323,0.0011076494401117127,0.0064556813835754505,0.006550015985356252,1.4008734145536121,0,0,70,1626427788609
15,participant_3,medium,-0.00312421813394792,0.002202162218288681,-0.0023696905544751262,0.0005037110069707705,-0.0027469543442115232,0.001352936612629726,0.0030620574205877586,2.6839449794760575,0,0,72,1626427788681
16,participant_3,medium,0.0,0.0,0.017774298824005667,0.0406349230410256,0.008887149412002833,0.0203174615205128,0.02217612832098472,1.1584577695540772,1,0,79,1626427788760
17,participant_3,medium,-0.003996827812490966,0.024398685068909853,-0.005279293192397684,-0.026521162968748412,-0.004638060502444325,-0.0010612389499192795,0.004757923216400185,2.9166538843959398,0,0,84,1626427788844
18,participant_3,medium,0.0036144729484376813,-0.01906840936704647,0.0,0.0,0.0018072364742188407,-0.009534204683523236,0.009703976639556763,1.3834659045567566,0,0,37,1626427788881
19,participant_3,medium,-0.020854984745694128,-0.0012985934477865533,-0.003787393030697992,5.2967187496517535e-05,-0.01232118888819606,-0.0006228131301450179,0.012336919867361023,3.0910875039104027,0,0,80,1626427788961
20,participant_3,medium,0.013655685206433503,0.030719681393870324,-0.0030505432287736933,-0.008840794598531406,0.005302570988829905,0.01093944339766946,0.012156836798377878,1.1194469752477523,0,0,93,1626427789054
21,participant_3,medium,0.0011849776095362947,-0.006628804262217362,-0.0015874174920122437,0.04334188515844663,-0.00020121994123797448,0.018356540448114633,0.018357643277066377,1.5817576450699868,0,0,41,1626427789095
22,participant_3,medium,0.0,0.0,0.0084170494613885,0.0037963155488373464,0.00420852473069425,0.0018981577744186732,0.004616782791669017,0.4237075513136238,0,0,93,1626427789188
23,participant_3,medium,-0.006742388870953397,0.004817738196023535,0.006966259603697794,-0.038782226058161104,0.00011193536637219828,-0.016982243931068786,0.016982612827847413,1.5642051044664111,0,0,68,1626427789256
24,participant_3,medium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,51,1626427789307
25,participant_3,medium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,68,1626427789375
26,participant_3,medium,0.0054013676756783134,-0.01582832345486343,0.0,0.0,0.0027006838378391567,-0.007914161727431715,0.008362275350639357,1.2419404733305486,0,0,67,1626427789442
27,participant_3,medium,0.0,0.0,-0.00013397153331548878,-0.012062755744744202,-6.698576665774439e-05,-0.006031377872372101,0.006031749839994572,1.5819020830736394,0,0,72,1626427789514
28,participant_3,medium,0.0,0.0,0.0175288892272745,-0.0024230118557838683,0.00876444461363725,-0.0012115059278919342,0.008847781416763883,0.1373591823456928,0,0,75,1626427789589
29,participant_3,medium,0.005682124796428838,-0.014102255782144312,-0.02125135242864042,-0.010113574961423498,-0.007784613816105791,-0.012107915371783906,0.014394506831294574,2.142189552126677,0,0,69,1626427789658
30,participant_3,medium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,63,1626427789721
31,participant_3,medium,-0.009254762156215086,0.013356304735167178,0.01188616076020301,0.0037196860316084067,0.001315699301993962,0.008537995383387793,0.008638774786971743,1.4178996930105146,0,0,79,1626427789800
32,participant_3,medium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,91,1626427789891
