frame_id,LEFT_EYE_WIDTH,RIGHT_EYE_WIDTH,LEFT_EYE_HEIGHT,RIGHT_EYE_HEIGHT,LEFT_PUPIL_DIAMETER,RIGHT_PUPIL_DIAMETER,participant,difficulty_level,difficulty_easy,difficulty_hard,difficulty_medium,ROLL,PITCH,YAW,LEFT_PUPIL_POS_X,LEFT_PUPIL_POS_Y,RIGHT_PUPIL_POS_X,RIGHT_PUPIL_POS_Y,LEFT_EYE_CENTER_X,LEFT_EYE_CENTER_Y,RIGHT_EYE_CENTER_X,RIGHT_EYE_CENTER_Y
1627049017455,37.30759502608635,38.655639550052,10.597439860011946,10.901427213811983,8.65772533416748,8.689861297607422,participant_5,easy,1,0,0,2.4706742157947303,7.395111477351808,1.6399527746894182,57.0,102.0,148.0,108.0,56.47615114,103.96831786,148.71172359,108.93597787
1627049017545,36.93779114021163,38.49324423508733,10.753631528314145,11.416306935794635,4.123305320739746,9.621009826660156,participant_5,easy,1,0,0,2.1479321569982233,7.226366274147324,2.549827662279851,56.0,100.0,147.0,105.0,57.5416773,101.94992056,148.89695029,106.7146105
1627049017629,37.75727630129404,39.45391393473619,12.619126401252288,13.09516465498018,7.433234214782715,10.3591890335083,participant_5,easy,1,0,0,1.9964004755876772,7.893601918896678,2.4462346607072405,54.0,98.0,146.0,102.0,55.61304411,101.48071393,148.86684005,104.63971436
1627049017701,37.3504121726437,38.72862421636091,12.515012477313576,13.100191764879128,9.434181213378906,9.276481628417969,participant_5,easy,1,0,0,1.6250993622939802,7.32040995276107,2.2876625732608518,50.0,98.0,141.0,101.0,52.87713346,100.31282413,144.29799393,103.14610298
1627049017741,37.13734927706719,38.5276717406432,12.525551708662531,13.277925538644922,10.000200271606444,8.544203758239746,participant_5,easy,1,0,0,0.8615475762046003,7.594195374229232,2.1194502624498885,52.0,96.0,142.0,98.0,53.5483244,97.62532446,144.11917457,99.96038303
1627049017820,36.27536717363,38.157908506946114,11.09374303405275,11.567267058353536,2.000200033187866,8.14431095123291,participant_5,easy,1,0,0,-0.46716795362888774,8.383833075904294,2.75111932178684,57.0,101.0,146.0,102.0,56.61246094,102.53035366,147.54590784,102.832702
1627049017913,35.65552829022636,37.55123066221131,11.832475224218795,12.27744162606541,13.60167121887207,8.062458038330078,participant_5,easy,1,0,0,-0.861484891793026,9.115411245350181,2.748942413649708,56.0,99.0,144.0,98.0,57.19204257,100.69001517,145.48344381,100.39656042
1627049017975,35.726014319514434,37.76201067105649,12.104890918741148,12.60729656089461,10.630346298217772,8.246411323547363,participant_5,easy,1,0,0,-1.3739272845487562,8.254669114650584,3.5629486553067067,56.0,100.0,143.0,99.0,56.03925234,102.01166589,144.86023131,101.61605326
1627049018040,34.69377207799698,36.78701921400352,11.704860234487567,12.325339857656218,9.507598876953123,8.944472312927246,participant_5,easy,1,0,0,-2.7816133625696295,7.66418205727801,3.3251454179072297,56.0,99.0,143.0,97.0,57.51542832,100.88483121,143.98214065,98.31775326
1627049018101,34.64417719091669,35.93858802690782,11.982154404850007,12.325339857656218,7.280309677124023,9.487032890319824,participant_5,easy,1,0,0,-4.0293074215159095,8.735832171111314,2.1743097365224546,55.0,99.0,142.0,94.0,57.62148222,100.93067101,143.82142993,96.55049407
