participant,difficulty,left_pupil_position,right_pupil_position,left_eye_position,right_eye_position,left_eye_size_x,right_eye_size_x,left_eye_size_y,right_eye_size_y,time_stamp
participant_4,hard,"(119.91516030103821, 76.22425137735877)","(46.486405293476764, 84.37771908089599)","(104.08075821293642, 80.36840808334728)","(31.62500341476698, 88.67963135994887)",31.912049147256766,30.425655233397265,9.43202141495567,9.998795815379708,1627037498103
participant_4,hard,"(118.94084565044614, 72.61589993804228)","(45.471981340582715, 81.22639429880655)","(103.04091766127385, 76.90043780999258)","(30.63004495948553, 85.72873182711191)",31.999162934720516,30.627687928499654,9.96525133214891,10.61960999877192,1627037498167
participant_4,hard,"(117.83521259904364, 72.34800587153406)","(44.4816193491522, 81.55181252872173)","(101.93721461807037, 76.66235140894607)","(29.691496838189778, 86.11027797977478)",32.05752319267047,30.668982537814387,10.165708924141654,10.809153444486583,1627037498231
participant_4,hard,"(116.73780608654079, 71.0215688915715)","(44.271249928667885, 81.39332603578568)","(100.9647251385254, 75.27397643587345)","(29.691496838189778, 86.11027797977478)",31.82303619235155,29.816629570633708,10.066251517700039,10.809153444486583,1627037498325
participant_4,hard,"(118.57058625227569, 72.69931465369268)","(46.38461078942555, 82.78026509717415)","(102.85885588870497, 76.96792709566034)","(31.711108247290213, 87.22726076347863)",31.6764069567962,30.209438437283097,9.791724038537723,10.354777595424821,1627037498389
participant_4,hard,"(118.57058625227569, 72.69931465369268)","(46.38461078942555, 82.78026509717415)","(102.85885588870497, 76.96792709566034)","(31.711108247290213, 87.22726076347863)",31.6764069567962,30.209438437283097,9.791724038537723,10.354777595424821,1627037498454
participant_4,hard,"(118.47210746656788, 75.00344583949767)","(46.19294675082807, 83.14966391513934)","(102.84316256710964, 79.18146080509679)","(31.711108247290213, 87.22726076347863)",31.466983483611315,29.52919113842883,9.31321293588644,9.309608231352726,1627037498518
participant_4,hard,"(120.61281979913088, 74.7568522924846)","(47.598453168539656, 82.7783217282415)","(104.88069861475104, 79.02757361163548)","(32.65380486459344, 87.24719361307778)",31.67491245211569,30.67743542011702,9.696759164904506,10.320563086286711,1627037498596
participant_4,hard,"(122.92209332938239, 77.51444386228466)","(49.741926160510786, 85.42688446275871)","(107.30676427596016, 81.67576207030194)","(34.86463871404521, 89.8408911367305)",31.487743675057587,30.53137807420488,9.393270366203978,10.145988026518353,1627037498666
participant_4,hard,"(123.36074970759, 79.01719705412688)","(49.741926160510786, 85.42688446275871)","(107.64632930173684, 83.20920353895781)","(34.86463871404521, 89.8408911367305)",31.582348992073094,30.53137807420488,9.399393185507506,10.145988026518353,1627037498731
participant_4,hard,"(125.88293911798598, 81.19253977670166)","(52.113439573043706, 86.78989487971785)","(109.9886552725875, 85.6647893333552)","(36.757542602434114, 91.57623265221946)",31.857503666717093,31.404798553628098,9.924042002357965,10.65627279884211,1627037498795
participant_4,hard,"(129.31183544021587, 82.44802669723639)","(54.921399278473245, 87.25445346795867)","(113.32372000995564, 86.80677764541176)","(39.45299364174207, 91.9036731210617)",32.05810702929013,31.636932118273748,9.878827625881968,10.535019631810428,1627037498862
participant_4,hard,"(124.34088598877861, 82.81300135521815)","(50.63663393146453, 85.72857256565476)","(108.37764817611605, 87.20117240183754)","(35.196527811844135, 90.38329453507322)",31.898700278252363,31.447461055751774,10.081155286869034,10.753748832299607,1627037498955
participant_4,hard,"(124.34088598877861, 82.81300135521815)","(48.980938409278906, 85.14056311496597)","(108.37764817611605, 87.20117240183754)","(33.25058964774962, 89.76657785161478)",31.898700278252363,32.153034440314514,10.081155286869034,10.760277834855515,1627037499033
participant_4,hard,"(126.64930577230325, 84.63755405739174)","(51.89748034401214, 85.66541718201982)","(110.61807127256269, 89.1066013473455)","(36.009107264392696, 90.46699642535256)",31.98659259291891,32.42035738270532,10.405124924511256,11.114579226055866,1627037499094
participant_4,hard,"(131.26680716825, 86.99845988551829)","(55.465469155268465, 86.96662948153198)","(115.13376442384288, 91.56736894373489)","(39.29968641653977, 91.89451300990049)",32.0181826893504,32.92345466124061,10.617074888937168,11.398937009098518,1627037499155
participant_4,hard,"(131.3668213576403, 89.16949381057053)","(55.49824113738532, 88.69859057768291)","(115.35657199704153, 93.48758388229815)","(39.12890801234016, 93.29131166804835)",31.85894792514955,33.17149790847725,10.332507957324196,10.859272023531048,1627037499227
participant_4,hard,"(134.7989940501236, 91.57214610645383)","(58.7645642598477, 89.84130929755338)","(118.8255004730081, 96.22523303779417)","(42.56104941608555, 94.70948666177719)",31.693913434264687,32.79723020495112,10.742133818066577,11.270994050855734,1627037499290
participant_4,hard,"(139.74046754887846, 95.82215265092124)","(63.99694877756725, 93.78000990044656)","(123.80494609922793, 100.10264966563865)","(47.76470190595229, 98.31503866142067)",31.801376603714758,32.62320613351403,9.612237123512386,10.165399327418527,1627037499356
participant_4,hard,"(141.31822368384576, 97.1082454473834)","(63.99694877756725, 93.78000990044656)","(125.37424563585363, 101.4800564959705)","(47.76470190595229, 98.31503866142067)",31.69757525826209,32.62320613351403,9.969405705336612,10.165399327418527,1627037499447
participant_4,hard,"(141.2655360553357, 97.32152702360918)","(63.99694877756725, 93.78000990044656)","(125.37424563585363, 101.4800564959705)","(47.76470190595229, 98.31503866142067)",31.69757525826209,32.62320613351403,9.092686980165979,10.165399327418527,1627037499493
participant_4,hard,"(143.85818548834368, 94.93798843907916)","(65.50073399463372, 92.11243635763685)","(127.63457187747736, 99.19813513845293)","(48.3574830891248, 96.67449432770081)",32.203555707324995,34.54464014033874,10.084360872268007,10.565472381113068,1627037499558
participant_4,hard,"(144.7093135324958, 96.70286954370977)","(66.25773686242019, 93.3419235148549)","(128.2935071778984, 101.19592386394834)","(48.83174253584821, 98.15287828845248)",32.408557133321665,35.06727237647647,10.734640458716967,11.279686454954572,1627037499658
